num_stacks,containers_per_stack,normalize_delay,n_containers,plan_length,j_old,g_max_theory,mean_gain_observed,max_gain_observed,tau_rel,tau_abs,tau_effective,predicted_update_possible,n_update,n_seeds,observed_any_update,prediction_correct,margin_form,delay_form
5,5,False,25,65,72.0,32.0,10.498198015443986,15.96436559235881,0.72,,0.72,True,5,5,True,True,margin=relative,delay=actions
7,4,False,28,61,63.0,30.0,7.946783940307886,16.175319397448206,0.63,,0.63,True,5,5,True,True,margin=relative,delay=actions
6,5,False,30,74,80.5,36.5,15.275507583581179,21.711013306831866,0.805,,0.805,True,5,5,True,True,margin=relative,delay=actions
8,4,False,32,68,69.5,33.5,9.246412279353551,17.69737346884873,0.6950000000000001,,0.6950000000000001,True,5,5,True,True,margin=relative,delay=actions
7,5,False,35,83,89.0,41.0,14.46901461105212,22.05063632392975,0.89,,0.89,True,5,5,True,True,margin=relative,delay=actions
10,5,False,50,111,116.0,55.0,21.512092419162464,23.553471424961813,1.16,,1.16,True,5,5,True,True,margin=relative,delay=actions
11,5,False,55,120,124.5,59.5,26.37248548736624,29.552484660651473,1.245,,1.245,True,5,5,True,True,margin=relative,delay=actions
12,5,False,60,129,133.0,64.0,22.127987511602736,30.169881839653215,1.33,,1.33,True,5,5,True,True,margin=relative,delay=actions
10,7,False,70,173,189.0,86.0,0.0,0.0,1.8900000000000001,,1.8900000000000001,True,0,5,False,False,margin=relative,delay=actions
12,6,False,72,163,172.0,81.0,30.361328883686536,41.58653285692978,1.72,,1.72,True,5,5,True,True,margin=relative,delay=actions
14,6,False,84,185,193.0,92.0,0.0,0.0,1.93,,1.93,True,0,5,False,False,margin=relative,delay=actions
3,3,False,9,21,22.0,10.0,1.429277920208483,1.6981808382428376,0.22,0.25,0.22,True,5,5,True,True,margin=mixed,delay=actions
4,3,False,12,26,26.5,12.5,6.320242804709714,6.320242804709714,0.265,0.25,0.25,True,5,5,True,True,margin=mixed,delay=actions
4,4,False,16,40,43.5,19.5,4.741158085019639,6.53658889262023,0.435,0.25,0.25,True,5,5,True,True,margin=mixed,delay=actions
5,4,False,20,47,50.0,23.0,6.765030971559237,13.099611734415795,0.5,0.25,0.25,True,5,5,True,True,margin=mixed,delay=actions
6,4,False,24,54,56.5,26.5,10.012943346356275,14.644023180409356,0.5650000000000001,0.25,0.25,True,5,5,True,True,margin=mixed,delay=actions
5,5,False,25,65,72.0,32.0,10.498198015443986,15.96436559235881,0.72,0.25,0.25,True,5,5,True,True,margin=mixed,delay=actions
7,4,False,28,61,63.0,30.0,7.946783940307886,16.175319397448206,0.63,0.25,0.25,True,5,5,True,True,margin=mixed,delay=actions
6,5,False,30,74,80.5,36.5,15.275507583581179,21.711013306831866,0.805,0.25,0.25,True,5,5,True,True,margin=mixed,delay=actions
8,4,False,32,68,69.5,33.5,9.246412279353551,17.69737346884873,0.6950000000000001,0.25,0.25,True,5,5,True,True,margin=mixed,delay=actions
7,5,False,35,83,89.0,41.0,14.46901461105212,22.05063632392975,0.89,0.25,0.25,True,5,5,True,True,margin=mixed,delay=actions
10,5,False,50,111,116.0,55.0,21.512092419162464,23.553471424961813,1.16,0.25,0.25,True,5,5,True,True,margin=mixed,delay=actions
11,5,False,55,120,124.5,59.5,26.37248548736624,29.552484660651473,1.245,0.25,0.25,True,5,5,True,True,margin=mixed,delay=actions
12,5,False,60,129,133.0,64.0,22.127987511602736,30.169881839653215,1.33,0.25,0.25,True,5,5,True,True,margin=mixed,delay=actions
10,7,False,70,173,189.0,86.0,0.0,0.0,1.8900000000000001,0.25,0.25,True,0,5,False,False,margin=mixed,delay=actions
12,6,False,72,163,172.0,81.0,30.361328883686536,41.58653285692978,1.72,0.25,0.25,True,5,5,True,True,margin=mixed,delay=actions
14,6,False,84,185,193.0,92.0,0.0,0.0,1.93,0.25,0.25,True,0,5,False,False,margin=mixed,delay=actions
