uncertainty_level,freeze_size,lam,method,seed,total_cost_mean,operational_cost_mean,changed_actions_total,runtime_mean_sec,fallback_rate
low,0,0.0,event_triggered_no_stability,35,7.0586419753086425,7.0586419753086425,0,5.834591057565477e-05,1.0
low,0,0.0,event_triggered_no_stability,36,7.069444444444444,7.069444444444444,0,0.11061853915452957,1.0
low,0,0.0,event_triggered_no_stability,37,7.037878787878787,7.037878787878787,0,0.05525402250615033,1.0
low,0,0.0,event_triggered_no_stability,38,7.0625,7.0625,0,6.54091127216816e-05,1.0
low,0,0.0,event_triggered_no_stability,39,7.0,7.0,0,5.813625951608022e-05,1.0
low,0,0.0,mpc,20,17.24690684135881,8.052680311890839,48,0.00012565445568826463,0.0
low,0,0.0,mpc,21,24.121472786281803,9.530208333333334,66,0.00012907246127724648,0.0
low,0,0.0,mpc,22,11.519635592375916,6.615,36,0.00012336745858192443,0.0
low,0,0.0,mpc,23,15.221672826323916,7.407952069716775,44,0.0001260994209183587,0.0
low,0,0.0,mpc,24,19.786132204270114,9.699184349212954,78,0.00012708082795143127,0.0
low,0,0.0,mpc,25,8.582469560199174,7.010416666666667,11,0.00012504775077104568,0.0
low,0,0.0,mpc,26,8.594508209239315,4.924768518518518,24,0.0001150667667388916,0.0
low,0,0.0,mpc,27,14.06946101995605,8.00925925925926,37,0.00012403436832957796,0.0
low,0,0.0,mpc,28,19.96093474364024,8.73044217687075,85,0.00012436722006116594,0.0
low,0,0.0,mpc,29,16.440726258163483,7.333823529411765,47,0.00012041367590427398,0.0
low,0,0.0,mpc,30,15.9592836218667,7.0,47,0.00011959392577409744,0.0
low,0,0.0,mpc,31,18.262661253539754,7.017156862745098,61,0.00012609660625457765,0.0
low,0,0.0,mpc,32,15.722218151757767,6.6015651874785,61,0.0001176236705346541,0.0
low,0,0.0,mpc,33,14.987476507270316,7.833333333333333,29,0.0001349287728468577,0.0
low,0,0.0,mpc,34,16.192672248435322,8.011278195488723,30,0.00012915794338498796,0.0
low,0,0.0,mpc,35,17.199206094503214,6.268041938997822,52,0.00011656847265031602,0.0
low,0,0.0,mpc,36,21.09950132065128,7.732602339181287,47,0.0001230879376331965,0.0
low,0,0.0,mpc,37,23.799726396809465,8.58133971291866,99,0.00013595921072092923,0.0
low,0,0.0,mpc,38,15.404146830319709,6.917279411764706,46,0.0001194593496620655,0.0
low,0,0.0,mpc,39,18.46687275255223,7.666666666666667,41,0.00012517161667346954,0.0
low,0,0.0,sarcrp,20,7.055555555555556,7.055555555555556,0,6.51503602663676e-05,1.0
low,0,0.0,sarcrp,21,7.041666666666666,7.041666666666666,0,6.092572584748268e-05,1.0
low,0,0.0,sarcrp,22,7.033333333333334,7.033333333333334,0,5.600787699222565e-05,1.0
low,0,0.0,sarcrp,23,7.092592592592592,7.092592592592592,0,6.169536047511631e-05,1.0
low,0,0.0,sarcrp,24,7.081018518518519,7.081018518518519,0,0.05277134074519078,1.0
low,0,0.0,sarcrp,25,7.010416666666667,7.010416666666667,0,6.407080218195915e-05,1.0
low,0,0.0,sarcrp,26,7.080246913580247,7.080246913580247,0,6.40112492773268e-05,1.0
low,0,0.0,sarcrp,27,7.0092592592592595,7.0092592592592595,0,6.147391266292996e-05,1.0
low,0,0.0,sarcrp,28,7.017857142857143,7.017857142857143,0,5.9662386775016785e-05,1.0
low,0,0.0,sarcrp,29,7.033333333333334,7.033333333333334,0,6.003193557262421e-05,1.0
low,0,0.0,sarcrp,30,7.0,7.0,0,6.261328235268593e-05,1.0
low,0,0.0,sarcrp,31,7.0166666666666675,7.0166666666666675,0,0.06237034648656845,1.0
low,0,0.0,sarcrp,32,7.128787878787879,7.128787878787879,0,0.06100722605531866,1.0
low,0,0.0,sarcrp,33,7.0,7.0,0,5.96512109041214e-05,1.0
low,0,0.0,sarcrp,34,7.011904761904761,7.011904761904761,0,5.74562166418348e-05,1.0
low,0,0.0,sarcrp,35,7.0586419753086425,7.0586419753086425,0,5.7706402407752146e-05,1.0
low,0,0.0,sarcrp,36,7.069444444444444,7.069444444444444,0,0.1015659694870313,1.0
low,0,0.0,sarcrp,37,7.037878787878787,7.037878787878787,0,0.055136199363253334,1.0
low,0,0.0,sarcrp,38,7.0625,7.0625,0,6.103981286287308e-05,1.0
low,0,0.0,sarcrp,39,7.0,7.0,0,5.714284876982371e-05,1.0
low,0,0.5,static,20,7.055555555555556,7.055555555555556,0,2.2558702362908258e-07,1.0
low,0,0.5,static,21,7.041666666666666,7.041666666666666,0,1.9790604710578918e-07,1.0
low,0,0.5,static,22,7.033333333333334,7.033333333333334,0,1.8961727619171142e-07,1.0
